Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
10515;D0515;WGH671;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,66;
10516;D0516;WGH691;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,89;
10517;D0517;WGH694;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,29;
10518;D0518;WGH704;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,05;
10519;D0519;WGH706;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,96;
10520;D0520;WGH717;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,80;
10521;D0521;WGH718;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,92;
10522;D0522;WGH681;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,41;
10523;D0523;WGH683;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,97;
10524;D0524;WGH712;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,77;
10525;D0525;WGH675;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,63;
10526;D0526;WGH679;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,86;
10527;D0527;WGH680;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,87;
